index,Title,Genre,Runtime,Rating
106.0,Annihilation,"Adventure,Drama,Fantasy,Horror,Mystery",115,7.0
107.0,Takeshis',"Comedy,Drama,Fantasy",108,6.4
108.0,The Nile Hilton Incident,"Crime,Drama,Thriller",111,6.9
109.0,Star Wars: The Last Jedi,"Action,Adventure,Fantasy,Sci-Fi",152,7.4
110.0,The Woman Who Left,Drama,226,7.6
111.0,The Outsider,"Crime,Drama,Mystery,Thriller",120,6.3
112.0,Love Per Square Foot,"Comedy,Romance",133,7.2
113.0,Hotel Salvation,"Comedy,Drama",102,7.3
114.0,Lego DC Comics Super Heroes: The Flash,"Action,Animation,Sci-Fi",78,6.5
115.0,Prodigy,"Drama,Sci-Fi,Thriller",80,6.6
116.0,Pitch Perfect 3,"Comedy,Music",93,6.0
117.0,The Vanishing of Sidney Hall,"Drama,Mystery",119,6.8
118.0,Jumanji: Welcome to the Jungle,"Action,Adventure,Comedy,Fantasy",119,7.0
119.0,Pan's Labyrinth,"Drama,Fantasy,War",118,8.2
120.0,Along with the Gods: The Two Worlds,"Action,Adventure,Drama,Fantasy",139,7.4
121.0,Dark Blue World,"Action,Drama,Romance,War",112,7.3
122.0,Ilo Ilo,Drama,99,7.3
123.0,Bowling for Columbine,"Crime,Documentary,Drama",120,8.0
124.0,Paddington 2,"Adventure,Animation,Comedy,Family,Fantasy",103,8.0
125.0,Chasing Coral,Documentary,93,8.1
126.0,Gaga: Five Foot Two,"Biography,Documentary,Music,Musical",100,7.1
127.0,The Farthest,"Documentary,History",121,8.1
128.0,Loveless,Drama,127,7.7
129.0,Icarus,"Documentary,Sport,Thriller",121,8.0
130.0,Veronica,"Drama,Horror",105,6.2
131.0,Hostages,"Crime,Drama",103,6.3
132.0,Tsukiji Wonderland,Documentary,111,7.5
133.0,Strangled,"Crime,Thriller",121,7.1
134.0,Still Life,Drama,92,7.4
135.0,Parked,Drama,94,6.8
136.0,Six Shooter,"Comedy,Drama",27,7.6
137.0,Heartbeats,"Drama,Romance",101,7.2
138.0,"I, Tonya","Biography,Comedy,Drama,Sport",120,7.6
139.0,The Breadwinner,"Animation,Drama,Family",94,7.6
140.0,Devil's Tree: Rooted Evil,"Horror,Thriller",76,6.2
141.0,Novitiate,Drama,123,6.6
142.0,The Eternal Road,"Drama,History",103,7.3
143.0,The Shape of Water,"Adventure,Drama,Fantasy,Horror,Romance",123,7.5
144.0,Ferdinand,"Adventure,Animation,Comedy,Family,Fantasy",108,6.7
145.0,I Remember You,"Drama,Horror,Mystery,Thriller",105,6.2
146.0,My Entire High School Sinking Into the Sea,"Animation,Comedy,Drama",75,6.2
147.0,London to Brighton,"Crime,Drama,Thriller",85,7.0
148.0,The Great Vazquez,"Biography,Comedy",106,6.3
149.0,The Body,"Mystery,Thriller",108,7.6
150.0,Generation Iron 2,Documentary,106,6.1
151.0,The Square,"Comedy,Drama",151,7.4
152.0,Forgotten,"Mystery,Thriller",108,7.2
153.0,The Girl Without Hands,Animation,76,7.0
154.0,Same Kind of Different as Me,Drama,119,6.3
155.0,Meester Kikker,Family,86,6.4
156.0,Marrowbone,"Drama,Horror,Thriller",110,6.6
157.0,Wonder Wheel,Drama,101,6.2
158.0,The Disaster Artist,"Biography,Comedy,Drama",104,7.6
159.0,The Man Who Invented Christmas,"Biography,Comedy,Drama",104,7.0
160.0,Raw,"Drama,Horror",99,7.0
161.0,I Called Him Morgan,"Documentary,Drama,History,Music",92,7.2
162.0,The Women's Balcony,"Comedy,Drama",96,6.6
163.0,Giant,"Drama,History",114,6.8
164.0,The Last Laugh,Documentary,88,7.0
165.0,Human Flow,Documentary,140,6.9
166.0,"Burn Motherfucker, Burn!",Documentary,99,6.5
167.0,In This Corner of the World,"Animation,Drama,Family,Fantasy,History",129,7.9
168.0,Graduation,"Crime,Drama",128,7.4
169.0,The Battleship Island,"Action,Drama,History,War",132,7.2
170.0,The Death of Stalin,"Comedy,History",107,7.2
171.0,Paradox,Action,101,6.7
172.0,Z-O-M-B-I-E-S,"Musical,Romance",94,6.6
