index,Title,Genre,Runtime,Rating
353,Scooby-Doo! Frankencreepy,"Adventure,Animation,Comedy,Family,Fantasy",74,6.9
354,Till We Meet Again,"Adventure,Drama",105,6.7
355,Pirates of the Caribbean: Dead Men Tell No Tales,"Action,Adventure,Fantasy",129,6.6
356,The Hero,"Comedy,Drama,Romance",96,6.5
357,The Big Sick,"Comedy,Drama,Romance",120,7.6
358,Throne of Elves,"Animation,Fantasy",104,6.2
359,Whitney: Can I Be Me,"Documentary,Music",105,6.6
360,Wonder Woman,"Action,Adventure,Fantasy,Sci-Fi,War",141,7.5
361,Mindhorn,Comedy,89,6.3
362,It Comes at Night,"Horror,Mystery",91,6.2
363,A Dark Song,"Drama,Horror",100,6.1
364,Don't Take Me Home,"Documentary,History,Sport",86,6.8
365,Band Aid,"Comedy,Drama,Music,Romance",91,6.6
366,Risk,Documentary,86,6.3
367,Captain Underpants: The First Epic Movie,"Action,Animation,Comedy,Family",89,6.2
368,Unlocked,"Action,Drama,Mystery,Thriller",98,6.2
369,Megan Leavey,"Biography,Drama,War",116,7.1
370,Born in China,Documentary,79,7.2
371,My Cousin Rachel,"Drama,Mystery,Romance",106,6.0
372,Lady Macbeth,"Drama,Romance",89,6.9
373,Life During Wartime,"Comedy,Drama",98,6.4
374,Williams,"Biography,Documentary,Sport",109,7.7
375,The Sense of an Ending,"Drama,Mystery",108,6.3
376,The Ottoman Lieutenant,"Drama,War",106,6.8
377,Guardians of the Galaxy Vol. 2,"Action,Adventure,Sci-Fi",136,7.7
378,Shin Godzilla,"Action,Adventure,Drama,Horror,Sci-Fi",120,6.7
379,The Wall,"Drama,Thriller,War",88,6.2
380,The Exception,"Drama,Romance,War",107,6.8
381,The Case for Christ,"Biography,Drama,History",112,6.1
382,Chuck,"Biography,Drama,Sport",98,6.5
383,Alien: Covenant,"Horror,Sci-Fi,Thriller",122,6.5
384,Boyka: Undisputed,"Action,Crime,Drama,Sport,Thriller",105,7.1
385,Shot Caller,"Crime,Drama,Thriller",121,7.3
386,Wakefield,Drama,106,6.4
387,King Arthur: Legend of the Sword,"Action,Adventure,Drama,Fantasy",126,6.8
388,Going in Style,"Comedy,Crime",96,6.6
389,The Hippopotamus,Comedy,89,6.4
390,Colossal,"Action,Comedy,Drama,Fantasy,Sci-Fi",109,6.2
391,The Levelling,Drama,83,6.4
392,A Quiet Passion,"Biography,Drama",125,6.6
393,Ghost in the Shell,"Action,Crime,Drama,Mystery,Sci-Fi",107,6.4
394,Gifted,Drama,101,7.6
395,The Boss Baby,"Animation,Comedy,Family,Fantasy",97,6.3
396,Route Irish,"Action,Drama,Thriller,War",109,6.4
