Title,Rating,Genre,Runtime
Raz na raz ne prikhoditsya,6.5,"Comedy, Crime",77 min
Return to Horror High,4.3,"Comedy, Horror",95 min
Roman Holiday,5,"Comedy, Drama, Romance",100 min
Russkies,5.5,Drama,99 min
Schlachtzeichen,6.9,N/A,54 min
#DUPE#,N/A,N/A,N/A
#DUPE#,N/A,N/A,N/A
Smierc Johna L.,6,Drama,104 min
Ssuda na brak,4.4,Comedy,69 min
Strana la vita,7.2,Drama,99 min
The Sun and the Moon,7.1,Drama,97 min
Sécurité publique,2,Crime,98 min
Wunschlos tot,6.8,Crime,90 min
Three O'Clock High,7.1,Comedy,101 min
Shuto shôshitsu,5.4,"Mystery, Sci-Fi",120 min
La tricheuse,7.6,Drama,N/A
Uncle Tom's Cabin,6.2,Drama,110 min
Uuno Turhapuro kaksoisagentti,5.4,Comedy,96 min
Vi ska tvivla,N/A,Documentary,69 min
Waiting for the Moon,6.3,Drama,88 min
Werewolf,7.8,"Horror, Thriller",90 min
Withnail & I,7.5,"Comedy, Drama",107 min
Diary of King Yonsan,5.5,N/A,118 min
Final Victory,6.6,"Crime, Drama, Romance",98 min
In fiecare zi mi-e dor de tine,6.7,Musical,90 min
China Beach,8.2,"Drama, History, War",120 min
Family Feud,6.6,Game-Show,60 min
Imogène,7.1,N/A,N/A
Mama's Boy,7.5,N/A,N/A
Ramona,7.9,"Drama, Family",30 min
Superboy,6.2,"Action, Adventure, Family",30 min
Wyatt's Watchdogs,5,Comedy,29 min
The Accused,7.1,"Crime, Drama",111 min
Alien Nation,6.3,"Action, Sci-Fi",91 min
Andy Colby's Incredible Adventure,3.5,"Adventure, Fantasy, Sci-Fi",75 min
Arthur 2: On the Rocks,4.7,"Comedy, Romance",113 min
Bachi da seta,N/A,Drama,93 min
Bees Saal Baad,5.2,"Horror, Mystery",141 min
The Big Knife,5.4,"Comedy, Drama",N/A
The Bloody Monks,5,"Fantasy, Horror, Thriller",75 min
The Bourne Identity,6.8,"Action, Adventure, Drama",185 min
Bum Rap,7.8,"Comedy, Drama",117 min
The Carrier,5.7,"Drama, Horror, Thriller",99 min
The Child Saver,7,Drama,105 min
Blood Money,4.9,"Action, Crime, Thriller",110 min
Cool Blue,4.6,"Comedy, Romance, Thriller",93 min
The Diary of a Big Man,6.7,"Comedy, Romance",86 min
Dead Ringers,7.2,"Drama, Horror, Thriller",116 min
"Dekalog, siedem",7.8,Drama,57 min
Die Hard,8.2,"Action, Thriller",132 min
Divided We Stand,5.5,Drama,60 min
Drawing Lesson #2,6.5,"Animation, Comedy, Short",6 min
Einstweilen wird es Mittag oder Die Arbeitslosen von Marienthal,6.2,N/A,95 min
Die erste Reihe,N/A,"Drama, History",110 min
Familienschande,7.5,"Crime, Drama",135 min
Filou,5.1,Drama,91 min
A Friendship in Vienna,6.7,"Drama, History",100 min
Georgette Meunier,5.3,"Crime, Drama",80 min
Goddess of Love,3.1,"Comedy, Fantasy",100 min
Greshnik,6.3,Comedy,83 min
Hard Rock Nightmare,4.6,Horror,87 min
High Spirits,5.7,"Comedy, Fantasy",99 min
Hot to Trot,4.4,"Comedy, Fantasy",83 min
Ich melde einen Selbstmord,N/A,"Crime, Drama",92 min
Internal Affairs,6.5,"Crime, Drama, Thriller",200 min
Keep on Dancing,5.2,Comedy,89 min
Jungfruresan,3,Drama,106 min
Kikuchi Eri: kyonyû-zeme,N/A,Drama,68 min
The End of the World,7,Drama,57 min
Last Platoon,4.3,"Action, War",80 min
Let's Get Lost,7.8,"Documentary, Biography, Music",120 min
Loco veneno,5.9,Comedy,95 min
Mad About You,5.8,Comedy,92 min
Marattam,8.8,N/A,90 min
Meine Seele ist eine leidenschaftliche Tänzerin - Bettina von Arnim,N/A,Biography,N/A
Before the Bat's Flight Is Done,7.1,"Drama, Thriller",91 min
Moonwalker,6.1,"Action, Crime, Fantasy",93 min
Murder One,5.4,"Biography, Crime, Drama",82 min
Nadie nada nunca,N/A,N/A,90 min
A New Life,5.8,Comedy,104 min
No Crying He Makes,6.1,"Crime, Drama, Mystery",1 h 15 min
Nypan - biografprojektionisten,N/A,N/A,N/A
The Eye Above the Well,7.5,Documentary,94 min
Paganini Horror,4.3,"Horror, Music",82 min
Obsession: A Taste for Fear,4.8,"Horror, Mystery, Sci-Fi",89 min
Perry Mason: The Case of the Lady in the Lake,6.8,"Crime, Drama, Mystery",95 min
El poder de la venganza,4.5,Action,N/A
Primiti Too Taa,7.6,"Documentary, Animation, Short",6 min
Il caso Pupetta Maresca,N/A,Documentary,60 min
The Raggedy Rawney,6.3,"Drama, Romance, War",103 min
Széchenyi napjai,N/A,N/A,N/A
